Wall time,Step,Value
1672134888,1157,0.995244563
1672134917,1160,0.994980395
1672134926,1161,0.995810688
1672134936,1162,0.994980395
1672134965,1165,0.996150374
1672134985,1167,0.996691346
1672135084,1177,0.994301021
1672135116,1180,0.994841993
1672135136,1182,0.995169103
1672135147,1183,0.996213257
1672135167,1185,0.995219409
1672135178,1186,0.994741321
1672135188,1187,0.995621979
1672135209,1189,0.995345235
1672135240,1192,0.994577825
1672135250,1193,0.992288172
1672135260,1194,0.993898451
1672135271,1195,0.995093584
1672135281,1196,0.994263291
1672135292,1197,0.994653285
1672135302,1198,0.994502306
1672135312,1199,0.995156527
1672135333,1201,0.99408716
1672135354,1203,0.995345235
1672135364,1204,0.993986487
1672135385,1206,0.994955242
1672135405,1208,0.994703591
1672135426,1210,0.993734896
1672135436,1211,0.995357811
1672135446,1212,0.993005216
1672135457,1213,0.99587357
1672135467,1214,0.98546952
1672135477,1215,0.992212653
1672135515,1219,0.990073979
1672135566,1224,0.994980395
1672135576,1225,0.994665861
1672135597,1227,0.990526855
1672135608,1228,0.982487917
1672135618,1229,0.993596494
1672135649,1232,0.992413938
1672135660,1233,0.993747473
1672135670,1234,0.99514395
1672135691,1236,0.993961334
1672135723,1239,0.993634284
1672135754,1242,0.99408716
1672135774,1244,0.995634556
1672135795,1246,0.993898451
1672135805,1247,0.994992971
1672135826,1249,0.990904272
1672135837,1250,0.994313598
1672135868,1253,0.994477153
1672135878,1254,0.988853693
1672135888,1255,0.993659437
1672135909,1257,0.994602978
1672135919,1258,0.993785203
1672135930,1259,0.994426847
1672135950,1261,0.994942605
1672135961,1262,0.993772626
1672135971,1263,0.992829084
1672135982,1264,0.98842591
1672135992,1265,0.980953097
1672136002,1266,0.994728744
1672136023,1268,0.989633679
1672136055,1271,0.993420362
1672136065,1272,0.99324429
1672136086,1274,0.994590402
1672136127,1278,0.994426847
1672136137,1279,0.994489729
1672136158,1281,0.977078319
1672136199,1285,0.994062006
1672136219,1287,0.989293993
1672136240,1289,0.989809811
1672136261,1291,0.98518014
1672136271,1292,0.989495277
1672136282,1293,0.992967486
1672136292,1294,0.991998792
1672136313,1296,0.994150043
1672136344,1299,0.993432999
1672136354,1300,0.992866874
1672136376,1302,0.993558764
1672136386,1303,0.994741321
1672136396,1304,0.993898451
1672136417,1306,0.995231986
1672136459,1310,0.993609071
1672136480,1312,0.994351327
1672136490,1313,0.992476881
1672136511,1315,0.983720839
1672136522,1316,0.991306841
1672136533,1317,0.993785203
1672136553,1319,0.994904876
1672136563,1320,0.994124889
1672136605,1324,0.992489457
1672136616,1325,0.995697439
1672136626,1326,0.992703319
1672136636,1327,0.994552612
1672136647,1328,0.990011096
1672136667,1330,0.977631867
1672136688,1332,0.994552612
1672136699,1333,0.994703591
1672136709,1334,0.99222523
1672136719,1335,0.99631393
1672136730,1336,0.994489729
1672136740,1337,0.995420694
1672136772,1340,0.996263564
1672136803,1343,0.99291718
1672136824,1345,0.993395209
1672136845,1347,0.992099464
1672136855,1348,0.993999124
1672136865,1349,0.994628131
1672136876,1350,0.995798111
1672136886,1351,0.995697439
1672136928,1355,0.994728744
1672136970,1359,0.995005548
1672136991,1361,0.992275536
1672137002,1362,0.996062279
1672137033,1365,0.994577825
1672137043,1366,0.99291718
1672137054,1367,0.99518168
1672137085,1370,0.993219078
1672137118,1373,0.992275536
1672137129,1374,0.990979791
1672137139,1375,0.99404943
1672137161,1377,0.991948485
1672137172,1378,0.991646528
1672137182,1379,0.995030701
1672137215,1382,0.991168499
1672137237,1384,0.994452
1672137247,1385,0.993105888
1672137258,1386,0.99032557
1672137269,1387,0.993772626
1672137279,1388,0.993143618
1672137290,1389,0.994212985
1672137312,1391,0.99324429
1672137323,1392,0.992363632
1672137355,1395,0.993118465
1672137408,1400,0.990627527
1672137449,1404,0.99372232
1672137529,1412,0.973404765
1672137539,1413,0.973379612
1672137549,1414,0.973618686
1672137559,1415,0.973039985
1672137599,1419,0.974235117
1672137629,1422,0.974574804
1672137639,1423,0.975052834
1672137659,1425,0.974574804
1672137669,1426,0.978562772
1672137679,1427,0.980085015
1672137689,1428,0.983695626
1672137709,1430,0.984890819
1672137729,1432,0.987583041
1672137739,1433,0.989809811
1672137749,1434,0.988086224
1672137769,1436,0.982953429
1672137779,1437,0.98433727
1672137789,1438,0.981368244
1672137809,1440,0.984941125
1672137829,1442,0.991986215
1672137890,1448,0.994879723
1672137910,1450,0.992728472
1672137950,1454,0.992577493
1672137960,1455,0.995936513
1672137970,1456,0.99477911
1672138011,1460,0.994665861
1672138061,1465,0.979418278
1672138072,1466,0.997106493
1672138113,1470,0.989533007
1672138154,1474,0.991520762
1672138184,1477,0.995282292
1672138215,1480,0.994766533
1672138225,1481,0.996263564
1672138235,1482,0.993936181
1672138265,1485,0.996250987
1672138275,1486,0.994577825
1672138306,1489,0.995420694
1672138316,1490,0.994741321
1672138326,1491,0.98806107
1672138336,1492,0.985016584
1672138347,1493,0.991520762
1672138418,1500,0.992904603
1672138428,1501,0.994401693
1672138438,1502,0.995068431
1672138448,1503,0.996112645
1672138468,1505,0.995974243
1672138479,1506,0.992980063
1672138489,1507,0.994590402
1672138499,1508,0.996263564
1672138509,1509,0.99404943
1672138520,1510,0.994212985
1672138530,1511,0.996892631
1672138540,1512,0.993458152
1672138550,1513,0.996125221
1672138581,1516,0.995974243
1672138603,1518,0.994602978
1672138654,1523,0.995307446
1672138664,1524,0.993822992
1672138674,1525,0.988891423
1672138695,1527,0.996502638
1672138769,1534,0.996024549
1672138790,1536,0.988652349
1672138833,1540,0.995118737
1672138844,1541,0.994955242
1672138855,1542,0.995785534
1672138898,1546,0.996087432
1672138920,1548,0.995621979
1672138931,1549,0.995810688
1672138953,1551,0.995584249
1672138964,1552,0.995320022
1672138986,1554,0.993105888
1672138996,1555,0.996452272
1672139065,1561,0.997307777
1672139075,1562,0.994452
1672139086,1563,0.993118465
1672139141,1568,0.996590674
1672139151,1569,0.995722651
1672139243,1578,0.995269716
1672139253,1579,0.996502638
1672139284,1582,0.995131314
1672139294,1583,0.993583918
1672139304,1584,0.995307446
1672139314,1585,0.996804535
1672139324,1586,0.988878846
1672139335,1587,0.994527459
1672139345,1588,0.99481684
1672139365,1590,0.995068431
1672139386,1592,0.994338751
1672139396,1593,0.996867478
1672139407,1594,0.992577493
1672139427,1596,0.997383237
1672139437,1597,0.995521307
1672139458,1599,0.99550873
1672139478,1601,0.996955514
1672139488,1602,0.993181348
1672139508,1604,0.996049702
1672139519,1605,0.997194529
1672139560,1609,0.99138236
1672139570,1610,0.997483909
1672139591,1612,0.989860117
1672139602,1613,0.99623841
1672139613,1614,0.995269716
1672139624,1615,0.995659709
1672139644,1617,0.995244563
1672139655,1618,0.996703923
1672139665,1619,0.995471001
1672139675,1620,0.994099736
1672139716,1624,0.995710015
1672139736,1626,0.995257139
1672139746,1627,0.996439695
1672139757,1628,0.995886147
1672139777,1630,0.992288172
1672139798,1632,0.993999124
1672139818,1634,0.994338751
1672139839,1636,0.996150374
1672139850,1637,0.995684862
